"Location","Control Program","Name","Type","Object ID","Device ID","Object Name","Path"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Outside Air Conditions","OA Humidity","BAI","AI:1","DEV:2809007","oa_humidity_1","#g1875_outside_air_conditions/oa_humidity"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Outside Air Conditions","OA Temperature","BAI","AI:2","DEV:2809007","oa_temperature_1","#g1875_outside_air_conditions/oa_temperature"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Outside Air Conditions","Metric","BAV","AV:1008","DEV:2809007","metric_conv_1","#g1875_outside_air_conditions/metric_conv"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Outside Air Conditions","OA Enthalpy","BAV","AV:1003","DEV:2809007","enthalpy_1","#g1875_outside_air_conditions/enthalpy"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Outside Air Conditions","OAH Default Value","BAV","AV:1007","DEV:2809007","oah_default_1","#g1875_outside_air_conditions/oah_default"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Outside Air Conditions","OA Humidity","BAV","AV:1002","DEV:2809007","humidity_1","#g1875_outside_air_conditions/humidity"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Outside Air Conditions","OAT Default Value","BAV","AV:1006","DEV:2809007","oat_default_1","#g1875_outside_air_conditions/oat_default"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Outside Air Conditions","OA Temperature","BAV","AV:1001","DEV:2809007","temperature_1","#g1875_outside_air_conditions/temperature"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Outside Air Conditions","OA Conditions Fail","BBV","BV:1011","DEV:2809007","local_oa_conditions_fail_1","#g1875_outside_air_conditions/local_oa_conditions_fail"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Outside Air Conditions","OAH Source","BMSV","MSV:1010","DEV:2809007","oah_source_1","#g1875_outside_air_conditions/oah_source"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Outside Air Conditions","OAT Source","BMSV","MSV:1009","DEV:2809007","oat_source_1","#g1875_outside_air_conditions/oat_source"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Outside Air Conditions","OAH_FAIL","BALM","BV:1013","DEV:2809007","oah_sens_fail_1","#g1875_outside_air_conditions/oah_sens_fail"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Outside Air Conditions","OAT_FAIL","BALM","BV:1012","DEV:2809007","oat_sens_fail_1","#g1875_outside_air_conditions/oat_sens_fail"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Econ Min Pos","BAV","AV:17","DEV:2809009","m728_1","#g1875_trane_ac-1/m728"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Economizer Setpoint","BAV","AV:18","DEV:2809009","ec_setpt_1","#g1875_trane_ac-1/ec_setpt"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Effective RAT","BAV","AV:3","DEV:2809009","eff_rat_1","#g1875_trane_ac-1/eff_rat"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Duct Static Pressure","BAV","AV:5","DEV:2809009","stat_press_1","#g1875_trane_ac-1/stat_press"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","supply air temp","BAV","AV:6","DEV:2809009","m862_1","#g1875_trane_ac-1/m862"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","System Runtime Request","BAV","AV:7","DEV:2809009","sys_run_req_1","#g1875_trane_ac-1/sys_run_req"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Total Airflow","BAV","AV:1","DEV:2809009","total_airflow_1","#g1875_trane_ac-1/total_airflow"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Total Airflow Percent","BAV","AV:2","DEV:2809009","total_airflow_pct_1","#g1875_trane_ac-1/total_airflow_pct"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Total Cool Request","BAV","AV:8","DEV:2809009","total_cl_req_1","#g1875_trane_ac-1/total_cl_req"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Total Heat Request","BAV","AV:4","DEV:2809009","total_ht_req_1","#g1875_trane_ac-1/total_ht_req"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Econ Enable Status","BBV","BV:39","DEV:2809009","eok_1","#g1875_trane_ac-1/eok"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Exh Fan Intlck","BBV","BV:1","DEV:2809009","m805_1","#g1875_trane_ac-1/m805"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","point name","BBV","BV:5","DEV:2809009","m386_1","#g1875_trane_ac-1/m386"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Warm-up Mode","BBV","BV:2","DEV:2809009","wu_mode_1","#g1875_trane_ac-1/wu_mode"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Eff run command","BMSV","MSV:1","DEV:2809009","m480_1","#g1875_trane_ac-1/m480"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","on/off/auto","BMSV","MSV:2","DEV:2809009","m661_1","#g1875_trane_ac-1/m661"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Ckt1 Cmp Trip","BALM","BV:21","DEV:2809009","m302_1","#g1875_trane_ac-1/m302"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Ckt1 Low Press","BALM","BV:22","DEV:2809009","m301_1","#g1875_trane_ac-1/m301"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Ckt2 Cmp Trip","BALM","BV:23","DEV:2809009","m306_1","#g1875_trane_ac-1/m306"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Ckt2 Low Press","BALM","BV:24","DEV:2809009","m305_1","#g1875_trane_ac-1/m305"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Dirty Filter","BALM","BV:3","DEV:2809009","m772_1","#g1875_trane_ac-1/m772"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","EF Fail","BALM","BV:32","DEV:2809009","m330_1","#g1875_trane_ac-1/m330"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Emergency Stop","BALM","BV:29","DEV:2809009","m312_1","#g1875_trane_ac-1/m312"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Equipment must be manually reset","BALM","BV:4","DEV:2809009","m776_1","#g1875_trane_ac-1/m776"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","SA Hi Press","BALM","BV:33","DEV:2809009","m329_1","#g1875_trane_ac-1/m329"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","SF Fail","BALM","BV:34","DEV:2809009","m336_1","#g1875_trane_ac-1/m336"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","SF HAND","BALM","BV:15","DEV:2809009","sf_hand_1","#g1875_trane_ac-1/sf_hand"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Supply Air Static High","BALM","BV:6","DEV:2809009","m595_1","#g1875_trane_ac-1/m595"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Supply Air Static Low","BALM","BV:7","DEV:2809009","m596_1","#g1875_trane_ac-1/m596"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Supply Air Temp High","BALM","BV:8","DEV:2809009","m593_1","#g1875_trane_ac-1/m593"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Supply Air Temp Low","BALM","BV:9","DEV:2809009","m594_1","#g1875_trane_ac-1/m594"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Trane BCU comm","BALM","BV:10","DEV:2809009","m763_1","#g1875_trane_ac-1/m763"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Airflow_in","POLLTOT","" ,"DEV:2809009","" ,"#g1875_trane_ac-1/airflow_in_2"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Airflow in","POLLTOT","" ,"DEV:2809009","" ,"#g1875_trane_ac-1/airflow_in_1"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Airflow in","POLLTOT","" ,"DEV:2809009","" ,"#g1875_trane_ac-1/airflow_in_3"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Airflow in","POLLTOT","" ,"DEV:2809009","" ,"#g1875_trane_ac-1/airflow_in_4"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Airflow in","POLLTOT","" ,"DEV:2809009","" ,"#g1875_trane_ac-1/airflow_in_5"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B13 - 1875 Charleston/Roof","Trane AC-1 / 1875 Charleston","Airflow in","POLLTOT","" ,"DEV:2809009","" ,"#g1875_trane_ac-1/airflow_in_6"
