"Location","Control Program","Name","Type","Object ID","Device ID","Object Name","Path"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","Bldg Static Pressure Setpt","BAV","AV:3","DEV:2800017","bpsp_2","#g1395charleston_ac-1_bci/bpsp"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","Cooling Capacity","BAV","AV:4","DEV:2800017","clg_cap_av_2","#g1395charleston_ac-1_bci/clg_cap_av"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","Cool Request","BAV","AV:30","DEV:2800017","cool_request_2","#g1395charleston_ac-1_bci/cool_request"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","Damper CO2 Reset Signal From VAVs","BAV","AV:31","DEV:2800017","dmpr_co2_reset_from_vavs_2","#g1395charleston_ac-1_bci/dmpr_co2_reset_from_vavs"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","DA Temp","BAV","AV:32","DEV:2800017","sat_2","#g1395charleston_ac-1_bci/sat"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","Duct Static Pressure","BAV","AV:5","DEV:2800017","stat_press_2","#g1395charleston_ac-1_bci/stat_press"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","Econ Min Pos","BAV","AV:1","DEV:2800017","ec_min_2","#g1395charleston_ac-1_bci/ec_min"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","Economizer Position","BAV","AV:35","DEV:2800017","econo_pos_disp_2","#g1395charleston_ac-1_bci/econo_pos_disp"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","Economizer Setpoint","BAV","AV:2","DEV:2800017","ec_setpt_2","#g1395charleston_ac-1_bci/ec_setpt"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","Effective RAT","BAV","AV:45","DEV:2800017","eff_rat_2","#g1395charleston_ac-1_bci/eff_rat"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","EF Stat","BAV","AV:36","DEV:2800017","ef_status_av_2","#g1395charleston_ac-1_bci/ef_status_av"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","EF VFD Speed","BAV","AV:37","DEV:2800017","ef_vfd_2","#g1395charleston_ac-1_bci/ef_vfd"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","Exhaust Damper Position","BAV","AV:39","DEV:2800017","exh_pos_disp_2","#g1395charleston_ac-1_bci/exh_pos_disp"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","Incoming Requests (Cool)","BAV","AV:40","DEV:2800017","cool_req_total_2","#g1395charleston_ac-1_bci/cool_req_total"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","Incoming Requests (Runtime)","BAV","AV:42","DEV:2800017","runtime_req_total_2","#g1395charleston_ac-1_bci/runtime_req_total"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","Incoming Requests (Static)","BAV","AV:43","DEV:2800017","static_press_req_total_2","#g1395charleston_ac-1_bci/static_press_req_total"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","Min OA Damper","BAV","AV:44","DEV:2800017","min_oad_2","#g1395charleston_ac-1_bci/min_oad"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","OA Temp (Trane)","BAV","AV:46","DEV:2800017","oat_trane_2","#g1395charleston_ac-1_bci/oat_trane"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","Occ Status","BAV","AV:47","DEV:2800017","occ_status_av_2","#g1395charleston_ac-1_bci/occ_status_av"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","Outdoor Air Damper Position Status","BAV","AV:48","DEV:2800017","net_oa_damp_pos_2","#g1395charleston_ac-1_bci/net_oa_damp_pos"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","point name","BAV","AV:49","DEV:2800017","m680_2","#g1395charleston_ac-1_bci/m680"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","RA Damper Position","BAV","AV:50","DEV:2800017","net_ra_pos_status_2","#g1395charleston_ac-1_bci/net_ra_pos_status"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","RA Temp","BAV","AV:51","DEV:2800017","rat_bci_2","#g1395charleston_ac-1_bci/rat_bci"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","Run Request Code","BAV","AV:52","DEV:2800017","run_req_code_2","#g1395charleston_ac-1_bci/run_req_code"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","SA Static Setpoint","BAV","AV:53","DEV:2800017","dpsp_2","#g1395charleston_ac-1_bci/dpsp"
"/Sif-Solo/Site 1 - Sif/Charleston Road South/B225 - 1395 Charleston/Roof","AC-1 Trane Intellipak / 1395 Charleston","SA Temp Setpoint","BAV","AV:54","DEV:2800017","sasp_2","#g1395charleston_ac-1_bci/sasp"
