"Location","Control Program","Name","Type","Object ID","Device ID","Object Name","Path"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B38 - 1945 Charleston/Roof","Trane AC-1 / 1945 Charleston","Cool Request","BAV","AV:1","DEV:2809611","cool_request_1","#g1945_trane_ac-1/cool_request"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B38 - 1945 Charleston/Roof","Trane AC-1 / 1945 Charleston","Duct Static Pressure","BAV","AV:2","DEV:2809611","dstp_1","#g1945_trane_ac-1/dstp"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B38 - 1945 Charleston/Roof","Trane AC-1 / 1945 Charleston","Econ Min Pos","BAV","AV:18","DEV:2809611","ec_min_1","#g1945_trane_ac-1/ec_min"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B38 - 1945 Charleston/Roof","Trane AC-1 / 1945 Charleston","Economizer Position","BAV","AV:4","DEV:2809611","econo_pos_disp_1","#g1945_trane_ac-1/econo_pos_disp"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B38 - 1945 Charleston/Roof","Trane AC-1 / 1945 Charleston","Exhaust Damper Position","BAV","AV:5","DEV:2809611","exh_pos_disp_1","#g1945_trane_ac-1/exh_pos_disp"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B38 - 1945 Charleston/Roof","Trane AC-1 / 1945 Charleston","Heat Request","BAV","AV:6","DEV:2809611","heat_request_1","#g1945_trane_ac-1/heat_request"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B38 - 1945 Charleston/Roof","Trane AC-1 / 1945 Charleston","oa damper min pos %","BAV","AV:22","DEV:2809611","oa_min_pos_1","#g1945_trane_ac-1/oa_min_pos"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B38 - 1945 Charleston/Roof","Trane AC-1 / 1945 Charleston","Run Request Code","BAV","AV:9","DEV:2809611","run_req_code_1","#g1945_trane_ac-1/run_req_code"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B38 - 1945 Charleston/Roof","Trane AC-1 / 1945 Charleston","SA Static Setpoint","BAV","AV:10","DEV:2809611","dpsp_1","#g1945_trane_ac-1/dpsp"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B38 - 1945 Charleston/Roof","Trane AC-1 / 1945 Charleston","SA Temp","BAV","AV:11","DEV:2809611","sat_1","#g1945_trane_ac-1/sat"
